Tech_U1_L10 (10).pptx | material_id: 6908e610f6c86acdc22a2d65 | gridfs_id: 6908e610f6c86acdc22a2d5e
Card #30: Web Technology: Introduction to React Router | fileName: Sem3_Web_Tech_U3_L6.docx | material_id: 6908e611f6c86acdc22a2de9 | gridfs_id: 6908e611f6c86acdc22a2de7
Card #31: HTML5 Audio, Video, and Progress Elements | fileName: Sem3_Web_Tech_U2_L1.pptx | material_id: 6908e611f6c86acdc22a2ebc | gridfs_id: 6908e611f6c86acdc22a2eba
Card #32: Web Technologies - HTML Forms Fundamentals | fileName: Sem3_Web_Tech_U1_L2 (2).pptx | material_id: 6908e611f6c86acdc22a3043 | gridfs_id: 6908e611f6c86acdc22a303f
Card #33: Web Technology - Unit 1 - CSS Box Model and Position Property | fileName: Sem3_Web_Tech_U1_L5 (5).pptx | material_id: 6908e611f6c86acdc22a30d8 | gridfs_id: 6908e611f6c86acdc22a30cf
Card #34: Web Technology - Unit 2: Async / Await in JavaScript | fileName: Sem3_Web_Tech_U2_L6.pptx | material_id: 6908e612f6c86acdc22a321c | gridfs_id: 6908e612f6c86acdc22a3218
Card #35: Web Technology - Unit 1, Lecture 9: JavaScript Objects | fileName: Sem3_Web_Tech_U1_L9(9).pptx | material_id: 6908e612f6c86acdc22a3248 | gridfs_id: 6908e612f6c86acdc22a3241
Card #36: Axios: Making HTTP Requests in Web Technologies | fileName: Sem3_Web_Tech_U2_L7.pptx | material_id: 6908e612f6c86acdc22a332e | gridfs_id: 6908e612f6c86acdc22a332b
Card #37: Web Technology - Unit 2: React Component Styling | fileName: Sem3_Web_Tech_U2_L12.pptx | material_id: 6908e612f6c86acdc22a33fc | gridfs_id: 6908e612f6c86acdc22a33fa
Card #38: Web Technology - Unit 2: React Components and JSX | fileName: Sem3_Web_Tech_U2_L11.pptx | material_id: 6908e612f6c86acdc22a34eb | gridfs_id: 6908e612f6c86acdc22a34e9
Card #39: Web Technologies: MERN Stack and ReactJS Introduction | fileName: Sem3_Web_Tech_U2_L8.pptx | material_id: 6908e612f6c86acdc22a3519 | gridfs_id: 6908e612f6c86acdc22a3517
Card #40: Web Technology - Unit 3, Lesson 3: Event Handling in React | fileName: Sem3_Web_Tech_U3_L3.docx | material_id: 6908e612f6c86acdc22a3523 | gridfs_id: 6908e612f6c86acdc22a3521
Card #41: Web Technologies: Event Handling and Propagation in DOM | fileName: Sem3_Web_Tech_U1_L12 (12).pptx | material_id: 6908e612f6c86acdc22a3541 | gridfs_id: 6908e612f6c86acdc22a353e
Card #42: JavaScript Built-in Objects and Arrays | fileName: Sem3_Web_Tech_U1_L8 (8).pptx | material_id: 6908e613f6c86acdc22a3587 | gridfs_id: 6908e612f6c86acdc22a3581
Card #43: Web Technology - Unit 2 - XML vs. JSON | fileName: Sem3_Web_Tech_U2_L4.pptx | material_id: 6908e613f6c86acdc22a35e1 | gridfs_id: 6908e613f6c86acdc22a35de
Card #44: Introduction to Single Page Applications (SPAs) and Multi-Page Applications (MPAs) | fileName: Sem3_Web_Tech_U2_L5.pptx | material_id: 6908e613f6c86acdc22a372c | gridfs_id: 6908e613f6c86acdc22a372a
Card #45: Web Technologies - Unit 1: JavaScript Basics | fileName: Sem3_Web_Tech_U1_L6 (6).pptx | material_id: 6908e613f6c86acdc22a3731 | gridfs_id: 6908e613f6c86acdc22a372d
Card #46: React Keys and map() Function for Dynamic Lists | fileName: Sem3_Web_Tech_U3_L2.docx | material_id: 6908e613f6c86acdc22a383d | gridfs_id: 6908e613f6c86acdc22a383b
Card #47: JSX Rendering in React: Introduction and Conversion Rules | fileName: Sem3_Web_Tech_U2_L9.pptx | material_id: 6908e613f6c86acdc22a38b1 | gridfs_id: 6908e613f6c86acdc22a38ad
Card #48: WEB TECHNOLOGIES - HTML Basic Markups | fileName: Sem3_Web_Tech_U1_L1 (1).pptx | material_id: 6908e613f6c86acdc22a38cd | gridfs_id: 6908e613f6c86acdc22a38c5
Card #49: Web Technologies - React Installation and Project Setup using npm | fileName: Sem3_Web_Tech_U2_L10.pptx | material_id: 6908e613f6c86acdc22a390d | gridfs_id: 6908e613f6c86acdc22a390a
Card #50: HTML5 Geolocation API - Concepts and Usage | fileName: Sem3_Web_Tech_U2_L2.pptx | material_id: 6908e613f6c86acdc22a3988 | gridfs_id: 6908e613f6c86acdc22a3986
Card #51: Lesson 3: File system module and query String in Node.js | fileName: Sem3_Web_Tech_U3_L9.docx | material_id: 6908e613f6c86acdc22a3996 | gridfs_id: 6908e613f6c86acdc22a3994
Card #52: Introduction to React Hooks and useState/useEffect Usage | fileName: Sem3_Web_Tech_U3_L5.docx | material_id: 6908e613f6c86acdc22a3b05 | gridfs_id: 6908e613f6c86acdc22a3b03
Card #53: React JS Forms: Controlled Components and Form Handling | fileName: Sem3_Web_Tech_U3_L4.docx | material_id: 6908e614f6c86acdc22a3c31 | gridfs_id: 6908e614f6c86acdc22a3c2f
Card #54: Lesson 7: Buffers and Streams in Node.js | fileName: Sem3_Web_Tech_U3_L10.docx | material_id: 6908e614f6c86acdc22a3c88 | gridfs_id: 6908e614f6c86acdc22a3c86
